'Assignment group','Business service',Category,Company,'Created Time','Created by','Has Parent',Impact,'Major Problem','Opened by',Priority,Type,Urgency
Other,'Communication Device',Application,'FedEx Express',morning,ID5285658,True,1,False,'Shafi Ahmed',1,Standard,3
Other,Computer,Network,'FedEx Services',afternoon,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,Application,'FedEx Ground',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Server,Application,'FedEx Ground',afternoon,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Scanner,Application,'FedEx Services',morning,ID5285658,True,1,False,'Shafi Ahmed',1,Standard,3
Other,Server,Hardware,'FedEx Services',morning,ID973921,False,1,True,'Stephen Barch',1,ITCC,3
Other,Network,Application,'FedEx Services',evening,Other,True,1,True,'Anjali Sharma',0.75,ITCC,2
Other,Database,Application,'FedEx Services',evening,Other,True,1,True,'Anjali Sharma',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Database,Application,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',1,ITCC,3
Other,Server,Application,'FedEx Express',morning,Other,True,1,True,'Herman Holeyfield',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,Other,True,1,True,Other,0.75,ITCC,2
Other,Server,Application,'FedEx Services',morning,Other,True,0.5,True,'Brad Moore',0.75,ITCC,3
Other,Server,Hardware,'FedEx Services',morning,Other,True,0,True,'Brad Moore',0.5,ITCC,3
Other,Server,Application,'FedEx Services',morning,Other,True,0,True,'Brad Moore',0.5,ITCC,3
Other,Server,Application,'FedEx Services',morning,Other,True,0.5,True,'Brad Moore',0.75,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,Other,True,1,True,'Brad Moore',1,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,Other,True,0.5,True,'Brad Moore',0.75,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,Other,True,0,True,'Brad Moore',0.5,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',morning,Other,True,0.5,True,'Brad Moore',0.75,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',afternoon,Other,True,0.5,True,'Brad Moore',0.75,ITCC,3
Other,Network,Hardware,'FedEx Services',afternoon,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,0.5,True,'Brad Moore',0.5,ITCC,2
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,ID5069733,True,0.5,False,'Admin-Arturo Reyes',0.5,Standard,2
FSC_ITL3O2STIBCO,Computer,Application,Other,afternoon,ID5069733,True,1,False,'Admin-Arturo Reyes',1,Standard,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,'Inquiry / Help','FedEx Services',evening,Other,True,1,True,'Anjali Sharma',1,ITCC,3
Other,Server,Application,'FedEx Services',night,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
FXS_EIS_GLB_ProblemMgmt,Server,Application,'FedEx Services',night,ID5285658,True,1,True,'Shafi Ahmed',1,Standard,3
Other,Server,Application,'FedEx Services',night,Other,True,1,True,'David Light',1,ITCC,3
Other,Server,Hardware,'FedEx Services',morning,ID973921,False,0.5,True,'Stephen Barch',0.5,ITCC,2
Other,Server,Application,'FedEx Express',morning,Other,True,1,True,'Herman Holeyfield',1,ITCC,3
Other,Server,Application,'FedEx Express',afternoon,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID973921,True,1,True,'Stephen Barch',1,ITCC,3
Other,Scanner,Hardware,'FedEx Ground',night,ID5285658,True,1,True,'Shafi Ahmed',1,Standard,3
Other,Server,Application,'FedEx Services',morning,ID5285658,True,1,True,'Shafi Ahmed',1,Standard,3
Other,Server,Hardware,'FedEx Services',morning,ID836059,True,1,False,'Khouri Mitchell',1,ITCC,3
Other,Network,Application,'FedEx Services',afternoon,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,Other,True,0.5,True,'Sean Green',0.5,ITCC,2
Other,Network,Hardware,'FedEx Ground',night,ID5285658,True,1,False,'Shafi Ahmed',1,Other,3
Other,Server,Application,'FedEx Services',night,ID5285658,True,1,True,'Shafi Ahmed',1,Standard,3
Other,Server,Application,'FedEx Services',night,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,Hardware,'FedEx Services',afternoon,ID847287,True,1,True,'Logan Simmons',1,ITCC,3
Other,Computer,Application,'FedEx Services',evening,ID5305519,True,0.5,True,'Ashish Bisht',0.5,ITCC,2
Other,Server,Application,'FedEx Express',morning,ID5285658,False,1,True,'Shafi Ahmed',1,Standard,3
Other,Mainframe,Hardware,'FedEx Services',morning,ID973921,True,1,True,'Stephen Barch',1,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID3667964,True,0.5,True,'DZundra Green',0.25,ITCC,1
Other,Server,'Inquiry / Help','FedEx Services',afternoon,Other,True,1,True,'Anjali Sharma',1,ITCC,3
Other,Server,Application,'FedEx Services',evening,ID3667964,True,1,True,'DZundra Green',1,ITCC,3
Other,Server,Application,'FedEx Express',morning,ID5285658,True,0,True,'Shafi Ahmed',0.5,Standard,3
Other,Server,Application,'FedEx Ground',afternoon,Other,True,0,True,'Anjali Sharma',0.5,ITCC,3
Other,Network,Application,'FedEx Services',morning,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Express',afternoon,Other,True,0,True,'Anjali Sharma',0.25,ITCC,2
Other,Server,Application,'FedEx Services',evening,ID5305519,True,1,True,'Ashish Bisht',1,ITCC,3
Other,Computer,Application,'FedEx Services',evening,Other,True,1,True,'Anjali Sharma',1,ITCC,3
Other,Database,Application,'FedEx Ground',evening,Other,True,1,True,'Anjali Sharma',1,ITCC,3
Other,Server,Application,'FedEx Express',morning,ID836059,True,0,True,'Khouri Mitchell',0.5,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID847287,True,1,True,'Logan Simmons',0.75,ITCC,2
Other,Network,Application,'FedEx Services',afternoon,ID836059,True,1,True,'Khouri Mitchell',1,ITCC,3
Other,Server,Application,'FedEx Services',morning,ID847287,True,0,True,'Logan Simmons',0.5,ITCC,3
Other,Server,Application,'FedEx Services',afternoon,ID847287,True,0.5,True,'Logan Simmons',0.5,ITCC,2
Other,Server,Application,'FedEx Services',evening,ID3667964,True,0,True,'DZundra Green',0.25,ITCC,2
Other,Database,Application,'FedEx Services',night,Other,True,1,True,'David Light',1,ITCC,3
